,seg
0,"['好喝', '薏仁', '覺得', 'pay', '大耶', '還是', '各種', '時間', '湯也', '濃稠', '料多', '滿滿', '超級', '苦茶', '45', '顧肝', '最強', '回甘超級', '40', '涼涼', '微甜', '多種', '行動', 'Line', '悠遊付', '台灣', '冰冰', '很苦', '街口', '青草', '一杯', '同一', '反而', '支付', '好像', '不少', '而且']"
1,"['特別', '酸梅', '佛心', '幾天', '專研', '藥理', '濃郁', '腸胃', '這是', '喝過', '真材', '實料', '品項', '樣樣', '薏仁', '湯也', '推薦', '苦茶', '還順口', '講究衛生', '能不受', '影響', '低調', '客氣', '興隆', '不苦', '好喝', '老店', '配方', '一瓶', '每隔', '梅子', '好吃', '疫情', '用心', '舒服', '生意', '天天', '其它', '特色', '天然', '心情', '竟然', '健康', '背景', '植物', '本身', '希望', '除了', '如此']"
2,"['薏仁', '111.09', '19', '網推', '超級', '濃稠', '無糖', '茶有', '草藥香', '回甘', '100', '我覺', '小貴', '不起', '真材', '試試', '綠豆', '解暑', '很棒', '店家', '青草', '下次', '淡淡', '更新', '看看']"
3,"['現在', 'pay', '惜字如金', '從大學', '還是', '愛的', '真材', '實料', '這麼', '沒變過', '整個', '攤位', '總是', '乾淨', '整齊', '我用', '一塵', '不染', '為過', '阿北', '一樣', '講了', '重點', '實力', '取勝', '點了', '薏仁', '簡單', '微甜', '濃郁', 'line', '悠遊卡', '台灣', '出門', '手機', '人來', '路過', '記得', '阿北買', '飲品', '味醇', '好喝', '夜市', '用料', '街口', '口感', '清爽', '形容', '味道', '微微', '反正', '方便', '支付', '健康', '多年', '根本', '今天', '非常', '使用', '知道', '可以']"
4,"['親切', '解釋', '清血茶', '根莖', '木頭', '適用', '油膩', '例愛吃', '快來', '香味', '一杯', '清楚']"
5,"['綠豆', '好喝', '酸酸甜甜', '酸梅', '湯太', '湯也', '戀愛的', '有夠', '湯很濃郁', '感覺', '東西配', '喝會', '合適', '推薦', '清甜', '洛神', '喝到', '降火', '花茶', '哈哈哈', '拍照', '口味', '伯伯', '滋味', '夏天', '想到', '大家', '很多']"
6,"['怕苦', '中學', '現在', '沒有', '改變過', '親切', '實在', '這家店', '東西', '一樣', '薏仁', '滿滿', '飽足感', '必點', '飲品', '這次', '還嘗試', '嘗試', '很溫', '喝到', '苦味', '青草', '滋味', '每次', '一路', '看看', '一直', '可以']"
7,"['酸梅', '超香', '湯和桂圓紅', '棗湯', '貨真', '價實', '超親切', '熱情', '還要', '喝別', '好喝', '下次']"
8,"['手搖飲', '來師', '嚐嚐', '親手', '養身', '各種', '真材', '實料', '最喜桂', '圓紅棗', '回甘好', '養肝', '身體', '舒暢', '順口', '減脂', '適合配', '罪惡', '推大', '清甜', '酸酸的', '夜市', '喝完', '伯伯', '食物', '健康', '不要']"
9,"['超好', '真材', '實料', '來師', '必推', '有戀', '愛的', '感覺', '常喝', '洛神', '花茶', '夜市', '青草', '每次', '非常']"
